"deaths","births","type"
103915,103569,"after2000"
105476,112042,"after2000"
108316,117933,"after2000"
116668,100371,"after2000"
111794,94134,"after2000"
121183,91847,"after2000"
118785,92898,"after2000"
117593,185523,"before2000"
101416,192511,"before2000"
105005,193343,"before2000"
105674,183878,"before2000"
93766,184509,"before2000"
93830,179500,"before2000"
54781,154263,"before2000"
60563,157239,"before2000"
67269,151448,"before2000"
67912,154613,"before2000"
73309,160338,"before2000"
74009,144928,"before2000"
73819,141126,"before2000"
77648,137526,"before2000"
81818,146566,"before2000"
91783,112810,"before2000"
95656,106392,"before2000"
95498,102620,"before2000"
98231,104081,"before2000"
97807,103763,"before2000"
100158,101495,"before2000"
99738,102038,"before2000"
103304,100643,"before2000"
