Prefecture,January,February,March,April,May,June,July,August,September,October,November,December,Total
Aetolia-Acarnania,668,972,2829,2222,2348,1893,1736,3037,2477,3036,1561,986,23765
Argolis,21445,30953,99800,184939,169450,128703,134235,157605,150021,142050,47134,29254,1295589
Arcadia,42,68,202,28,173,79,64,95,76,150,143,42,1162
Attica ,174195,223884,366738,611343,708144,670544,747720,770441,783273,663483,316216,198173,6234154
Achaea,123,276,614,640,648,314,330,298,415,995,440,252,5345
Boeotia,142,316,180,418,517,236,120,66,207,449,240,122,3013
Dodecanese,651,956,3227,45029,114481,127700,155786,163710,163145,112438,9337,3071,899531
Evros,4,2,71,911,1111,1899,3578,6508,1592,437,438,71,16622
Euboea ,0,0,0,0,0,0,0,0,0,0,0,0,0
Zakynthos,87,181,228,497,2711,2819,3661,4244,5076,2000,182,21,21707
Elis ,4790,8308,27775,54401,59729,59230,58257,83428,62443,58804,18090,7724,502979
Imathia,3607,9247,19700,32105,33184,21044,16925,20746,21527,20678,9048,15340,223151
Heraklion ,7569,16849,36816,121142,170823,172932,214950,244392,207380,175647,58553,27399,1454452
Thesprotia,0,34,102,240,172,193,177,366,107,171,0,117,1679
Thessaloniki ,379,1023,2249,3808,6226,1231,1254,1971,1980,2644,345,3867,26977
Ioannina ,155,1117,4700,6574,5155,4057,4353,5461,5385,3922,1325,2865,45069
Kavala ,1100,1200,3100,6000,8100,8454,5505,5549,8768,8863,2666,1170,60475
Karditsa,17,85,252,418,259,36,22,94,84,168,98,24,1557
Kastoria,26,6,16,274,91,119,18,38,82,82,356,67,1175
Corfu,443,429,1585,12269,28241,28695,34095,36782,36320,21890,4901,1122,206772
Cephalonia,0,0,0,0,0,0,0,0,0,0,0,46,46
Kilkis,0,0,0,0,0,6,23,76,94,63,274,18,554
Kozani,0,0,0,18,0,0,0,,0,0,0,0,18
Corinthia,5478,6539,14223,28661,32603,26974,27578,25104,32460,36688,13914,5777,255999
Cyclades,1553,2057,5769,40101,86791,91734,90709,92242,103713,68104,10973,2519,596265
Laconia,1654,1784,7692,19583,18625,14173,17736,24460,19176,15747,4353,2730,147713
Larissa,11,16,31,16,16,10,17,16,17,12,0,0,162
Lasithi,627,1204,3119,35798,87626,89041,100594,116555,109472,75962,4047,2018,626063
Lesbos,267,1078,1042,1818,3683,7235,15541,20270,8820,2121,735,518,63128
Lefkada,44,77,230,573,1059,1168,1404,1580,1485,614,78,106,8418
Magnesia,175,743,2291,5792,3473,1003,767,357,412,859,352,719,16943
Messenia,1452,2759,12442,33015,23691,22935,30528,41681,28210,18721,4045,2222,221701
Xanthi,0,0,0,0,0,0,0,0,0,0,0,0,0
Pella,324,564,1324,2325,2660,1029,838,1216,1764,1101,574,502,14221
Pieria,819,946,6243,15017,20922,12938,15803,18998,15760,10076,2725,2281,122528
Preveza,156,349,1794,3563,4363,3939,6593,11007,5851,3203,498,407,41723
Rethymno,63,29,170,1578,2156,2258,2423,2548,2765,3270,158,84,17502
Rhodope,0,0,50,0,0,287,243,632,95,66,139,29,1541
Samos,48,42,260,469,2167,4635,5680,7569,5246,1556,250,55,27977
Trikala,0,0,0,0,0,0,0,0,0,0,0,0,0
Phthiotis,0,0,0,0,0,0,0,710,0,0,0,0,710
Florina,2,0,44,213,224,29,1,11,9,139,37,34,743
Chalkidiki,7,12,366,998,1861,1371,1527,1377,1758,1301,87,57,10722
Chania,613,2867,5556,7221,7287,5339,5221,5824,6377,5941,3610,1387,57243
Chios,9,4,65,50,54,96,147,272,141,54,11,6,909
